symbol,company_name,date,year,quarter,call_timing,pre_price,post_price,return,label_ternary,label_binary,market_return,excess_return,label_ternary_excess,label_binary_excess,return_1d,label_binary_1d,label_ternary_1d,return_2d,label_binary_2d,label_ternary_2d,return_3d,label_binary_3d,label_ternary_3d
SO,The Southern Company,2025-05-01 13:00:00,2025,1,during_market,88.9701156616211,88.55377197265625,-0.004679590285667588,FLAT,,0.007086914929300623,-0.01176650521496821,DOWN,DOWN,-0.004679590285667588,,FLAT,-0.00914128390614888,DOWN,DOWN,-0.00914128390614888,DOWN,DOWN
LOW,"Lowe's Companies, Inc.",2025-02-26 09:00:00,2024,4,pre_market,236.4663848876953,241.0320281982422,0.019307790038382115,UP,UP,0.0005049592500177663,0.01880283078836435,UP,UP,0.019307790038382115,UP,UP,0.012830561872344699,UP,UP,0.025784953676055093,UP,UP
MCD,McDonald's Corporation,2025-05-01 08:30:00,2025,1,pre_market,312.4224548339844,306.54833984375,-0.018801833540920652,DOWN,DOWN,0.007086914929300623,-0.025888748470221275,DOWN,DOWN,-0.018801833540920652,DOWN,DOWN,-0.024057629925550862,DOWN,DOWN,-0.012294750093748849,DOWN,DOWN
FCX,Freeport-McMoRan Inc.,2025-04-24 10:00:00,2025,1,during_market,34.78550338745117,37.19745635986328,0.06933787749301965,UP,UP,0.021049134902774137,0.04828874259024551,UP,UP,0.06933787749301965,UP,UP,0.06138091906938306,UP,UP,0.05825529227439849,UP,UP
DLR,"Digital Realty Trust, Inc.",2025-04-24 17:00:00,2025,1,after_close,149.39260864257812,155.34889221191406,0.03987000175883098,UP,UP,0.007225263975707628,0.03264473778312335,UP,UP,0.03987000175883098,UP,UP,0.04292681322501985,UP,UP,0.039804837173311444,UP,UP
BAC,Bank of America Corporation,2025-04-15 08:30:00,2025,1,pre_market,35.86335372924805,37.15431594848633,0.03599669537278797,UP,UP,-0.0028010383342954113,0.03879773370708338,UP,UP,0.03599669537278797,UP,UP,0.017998347686393985,UP,UP,0.020179946248219737,UP,UP
META,"Meta Platforms, Inc.",2025-04-30 17:00:00,2025,1,after_close,547.2926025390625,570.4304809570312,0.04227698001146892,UP,UP,0.007086914929300623,0.0351900650821683,UP,UP,0.04227698001146892,UP,UP,0.08746802943555824,UP,UP,0.09156646230635045,UP,UP
LIN,Linde plc,2025-05-01 09:00:00,2025,1,pre_market,447.1980590820313,442.0869445800781,-0.011429196523001076,DOWN,DOWN,0.007086914929300623,-0.018516111452301698,DOWN,DOWN,-0.011429196523001076,DOWN,DOWN,0.0037949237145948585,,FLAT,-0.0016327521092502552,,FLAT
INTC,Intel Corporation,2025-04-24 17:00:00,2025,1,after_close,21.489999771118164,20.049999237060547,-0.06700793622124321,DOWN,DOWN,0.007225263975707628,-0.07423320019695084,DOWN,DOWN,-0.06700793622124321,DOWN,DOWN,-0.04560258504764672,DOWN,DOWN,-0.053513244801232346,DOWN,DOWN
TT,Trane Technologies plc,2025-04-30 10:00:00,2025,1,during_market,351.01971435546875,380.6851806640625,0.08451225129353357,UP,UP,0.0003969240833687584,0.0841153272101648,UP,UP,0.08451225129353357,UP,UP,0.11085335397167885,UP,UP,0.13057381822317007,UP,UP
XOM,Exxon Mobil Corporation,2025-05-02 09:30:00,2025,1,during_market,102.26620483398438,102.68192291259766,0.0040650582397982245,FLAT,,0.014844129127253552,-0.010779070887455328,DOWN,DOWN,0.0040650582397982245,,FLAT,-0.02372846911976184,DOWN,DOWN,-0.010115309816986351,DOWN,DOWN
