experiment,sector,n_sector,n_correct,accuracy,n_others,acc_others,fisher_p,significant,holm_alpha,significant_corrected
GPT-contrastive,Information Technology,14,6,0.4286,76,0.6842,0.077127,False,0.004545,False
GPT-contrastive,Real Estate,5,5,1.0,85,0.6235,0.156298,False,0.005,False
GPT-contrastive,Consumer Discretionary,9,4,0.4444,81,0.6667,0.271273,False,0.005556,False
GPT-contrastive,Financials,13,10,0.7692,77,0.6234,0.366309,False,0.00625,False
GPT-contrastive,Utilities,3,3,1.0,87,0.6322,0.549745,False,0.007143,False
GPT-contrastive,Materials,5,4,0.8,85,0.6353,0.651767,False,0.008333,False
GPT-contrastive,Consumer Staples,6,3,0.5,84,0.6548,0.662009,False,0.01,False
GPT-contrastive,Health Care,12,8,0.6667,78,0.641,1.0,False,0.0125,False
GPT-contrastive,Industrials,16,10,0.625,74,0.6486,1.0,False,0.016667,False
GPT-contrastive,Energy,3,2,0.6667,87,0.6437,1.0,False,0.025,False
GPT-contrastive,Communication Services,4,3,0.75,86,0.6395,1.0,False,0.05,False
GPT-disagreement-ensemble,Information Technology,14,7,0.5,76,0.7368,0.110716,False,0.004545,False
GPT-disagreement-ensemble,Financials,13,11,0.8462,77,0.6753,0.329519,False,0.005,False
GPT-disagreement-ensemble,Utilities,3,3,1.0,87,0.6897,0.551149,False,0.005556,False
GPT-disagreement-ensemble,Materials,5,3,0.6,85,0.7059,0.634056,False,0.00625,False
GPT-disagreement-ensemble,Health Care,12,9,0.75,78,0.6923,1.0,False,0.007143,False
GPT-disagreement-ensemble,Consumer Discretionary,9,6,0.6667,81,0.7037,1.0,False,0.008333,False
GPT-disagreement-ensemble,Real Estate,5,4,0.8,85,0.6941,1.0,False,0.01,False
GPT-disagreement-ensemble,Industrials,16,11,0.6875,74,0.7027,1.0,False,0.0125,False
GPT-disagreement-ensemble,Energy,3,2,0.6667,87,0.7011,1.0,False,0.016667,False
GPT-disagreement-ensemble,Consumer Staples,6,4,0.6667,84,0.7024,1.0,False,0.025,False
GPT-disagreement-ensemble,Communication Services,4,3,0.75,86,0.6977,1.0,False,0.05,False
GPT-feat-inject,Information Technology,14,7,0.5,75,0.7333,0.112959,False,0.004545,False
GPT-feat-inject,Real Estate,5,5,1.0,84,0.6786,0.317315,False,0.005,False
